"","prodeval","familiarity","consistency","gender","age"
"1",9,7,"consistent","male",22
"2",8.33333333333333,7,"consistent","female",26
"3",8.66666666666667,7,"consistent","male",35
"4",7.33333333333333,7,"consistent","female",26
"5",9,6,"consistent","male",39
"6",4,5,"consistent","male",34
"7",8.33333333333333,7,"consistent","female",30
"8",8.66666666666667,7,"consistent","male",33
"9",9,4,"consistent","male",24
"10",8.33333333333333,7,"consistent","male",42
"11",8.33333333333333,7,"consistent","female",35
"12",8.33333333333333,6,"consistent","male",57
"13",6,7,"consistent","male",38
"14",5.66666666666667,7,"consistent","male",36
"15",7.66666666666667,7,"consistent","female",33
"16",7.66666666666667,7,"consistent","male",27
"17",6.66666666666667,6,"consistent","female",56
"18",4.66666666666667,5,"consistent","male",54
"19",8,6,"consistent","male",38
"20",6,5,"consistent","male",33
"21",8.66666666666667,7,"consistent","male",51
"22",9,7,"consistent","male",33
"23",9,7,"consistent","female",30
"24",8.33333333333333,7,"consistent","male",58
"25",6,4,"consistent","female",28
"26",7.66666666666667,6,"consistent","female",44
"27",7.33333333333333,7,"consistent","male",21
"28",8,5,"consistent","female",26
"29",9,7,"consistent","male",43
"30",9,7,"consistent","male",34
"31",5.66666666666667,4,"consistent","female",39
"32",7,6,"consistent","male",31
"33",8.33333333333333,7,"consistent","male",33
"34",9,7,"consistent","male",66
"35",7,7,"consistent","male",25
"36",7,5,"consistent","male",36
"37",9,7,"consistent","female",38
"38",8,7,"consistent","female",26
"39",8,7,"consistent","male",49
"40",9,7,"consistent","female",37
"41",8,6,"consistent","female",31
"42",8.33333333333333,7,"consistent","male",31
"43",3.33333333333333,5,"consistent","male",45
"44",5,5,"consistent","male",55
"45",8,6,"consistent","male",20
"46",7,7,"consistent","female",44
"47",3.66666666666667,4,"consistent","female",24
"48",8,7,"consistent","male",41
"49",4.33333333333333,4,"inconsistent","female",21
"50",7.33333333333333,7,"inconsistent","male",36
"51",8,6,"inconsistent","male",37
"52",7.33333333333333,6,"inconsistent","female",30
"53",5,4,"inconsistent","male",36
"54",8.33333333333333,7,"inconsistent","male",32
"55",8.66666666666667,7,"inconsistent","male",51
"56",6.33333333333333,6,"inconsistent","male",33
"57",5.66666666666667,7,"inconsistent","male",31
"58",4.66666666666667,5,"inconsistent","female",38
"59",8,7,"inconsistent","male",34
"60",3,7,"inconsistent","female",38
"61",5,7,"inconsistent","male",29
"62",8.66666666666667,6,"inconsistent","male",40
"63",7.66666666666667,7,"inconsistent","female",22
"64",7,7,"inconsistent","male",24
"65",9,7,"inconsistent","female",36
"66",9,7,"inconsistent","male",41
"67",8.33333333333333,7,"inconsistent","male",47
"68",8.33333333333333,7,"inconsistent","female",33
"69",5.66666666666667,6,"inconsistent","male",40
"70",7.33333333333333,7,"inconsistent","female",27
"71",2.33333333333333,5,"inconsistent","female",32
"72",8,7,"inconsistent","male",44
"73",8,7,"inconsistent","male",43
"74",9,7,"inconsistent","male",51
"75",7,7,"inconsistent","male",26
"76",9,7,"inconsistent","male",40
"77",9,7,"inconsistent","male",60
"78",3.33333333333333,7,"inconsistent","male",25
"79",8,7,"inconsistent","male",37
"80",8.66666666666667,7,"inconsistent","male",38
"81",7.33333333333333,7,"inconsistent","female",35
"82",7.33333333333333,7,"inconsistent","female",34
"83",4.33333333333333,6,"inconsistent","male",21
"84",7.33333333333333,6,"inconsistent","male",34
"85",7,6,"inconsistent","female",33
"86",7.66666666666667,4,"inconsistent","female",35
"87",6,7,"inconsistent","female",68
"88",5,7,"inconsistent","female",27
"89",3.66666666666667,5,"inconsistent","male",43
"90",9,7,"inconsistent","male",27
"91",7,6,"inconsistent","male",31
"92",7.66666666666667,6,"inconsistent","female",30
"93",9,4,"inconsistent","male",35
"94",6,7,"inconsistent","male",28
"95",7,7,"inconsistent","male",49
"96",8.66666666666667,7,"inconsistent","male",20
