"","annees","service","salaire","echelon","domaine","sexe"
"1",19,18,139.75,"titulaire","applique","homme"
"2",20,16,173.2,"titulaire","applique","homme"
"3",4,3,79.75,"adjoint","applique","homme"
"4",45,39,115,"titulaire","applique","homme"
"5",40,41,141.5,"titulaire","applique","homme"
"6",6,6,97,"aggrege","applique","homme"
"7",30,23,175,"titulaire","applique","homme"
"8",45,45,147.765,"titulaire","applique","homme"
"9",21,20,119.25,"titulaire","applique","homme"
"10",18,18,129,"titulaire","applique","femme"
"11",12,8,119.8,"aggrege","applique","homme"
"12",7,2,79.8,"adjoint","applique","homme"
"13",1,1,77.7,"adjoint","applique","homme"
"14",2,0,78,"adjoint","applique","homme"
"15",20,18,104.8,"titulaire","applique","homme"
"16",12,3,117.15,"titulaire","applique","homme"
"17",19,20,101,"titulaire","applique","homme"
"18",38,34,103.45,"titulaire","theorique","homme"
"19",37,23,124.75,"titulaire","theorique","homme"
"20",39,36,137,"titulaire","theorique","femme"
"21",31,26,89.565,"titulaire","theorique","homme"
"22",36,31,102.58,"titulaire","theorique","homme"
"23",34,30,93.904,"titulaire","theorique","homme"
"24",24,19,113.068,"titulaire","theorique","homme"
"25",13,8,74.83,"aggrege","theorique","femme"
"26",21,8,106.294,"titulaire","theorique","homme"
"27",35,23,134.885,"titulaire","theorique","homme"
"28",5,3,82.379,"adjoint","applique","homme"
"29",11,0,77,"adjoint","applique","homme"
"30",12,8,118.223,"titulaire","applique","homme"
"31",20,4,132.261,"titulaire","applique","homme"
"32",7,2,79.916,"adjoint","applique","homme"
"33",13,9,117.256,"titulaire","applique","homme"
"34",4,2,80.225,"adjoint","applique","homme"
"35",4,2,80.225,"adjoint","applique","femme"
"36",5,0,77,"adjoint","applique","femme"
"37",22,21,155.75,"titulaire","applique","homme"
"38",7,4,86.373,"adjoint","applique","homme"
"39",41,31,125.196,"titulaire","applique","homme"
"40",9,9,100.938,"aggrege","applique","homme"
"41",23,2,146.5,"titulaire","applique","homme"
"42",23,23,93.418,"aggrege","applique","homme"
"43",40,27,101.299,"titulaire","applique","homme"
"44",38,38,231.545,"titulaire","applique","homme"
"45",19,19,94.384,"titulaire","applique","homme"
"46",25,15,114.778,"titulaire","applique","homme"
"47",40,28,98.193,"titulaire","applique","homme"
"48",23,19,151.768,"titulaire","applique","femme"
"49",25,25,140.096,"titulaire","applique","femme"
"50",1,1,70.768,"adjoint","applique","homme"
